;Telescope run;Temperature;nChannels;Name;Voltage;;;;;;;;;;;;;;;;
1505239044;3980;-31;6;W4-S203;60;W4-S215;60;W4-S1061;80;W4-S1022;80;SiPM-AFP;26,5;W4-S204_6e14;270;W4-S204_6e14;270;SiPM-AFP;26,5;;
1505246053;3981;-30;6;W4-S203;55;W4-S215;55;W4-S1061;70;W4-S1022;70;SiPM-AFP;26,5;W4-S204_6e14;260;W4-S204_6e14;270;SiPM-AFP;26,5;;
1505246642;3999;-31;6;W4-S203;50;W4-S215;50;W4-S1061;60;W4-S1022;60;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
4001;4000;-31;6;W4-S203;40;W4-S215;40;W4-S1061;50;W4-S1022;50;SiPM-AFP;26,5;W4-S204_6e14;240;W4-S204_6e14;240;SiPM-AFP;26,5;;
0;22:10;-31;6;W4-S203;30;W4-S215;30;W4-S1061;40;W4-S1022;40;SiPM-AFP;26,5;W4-S204_6e14;230;W4-S204_6e14;230;SiPM-AFP;26,5;;
0;0;-31;6;W4-S203;20;W4-S215;20;W4-S1061;30;W4-S1022;30;SiPM-AFP;26,5;W4-S204_6e14;200;W4-S204_6e14;200;SiPM-AFP;26,5;;
0;0;-31;6;W4-S203;55;W4-S215;55;W4-S1061;80;W4-S1022;80;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
0;0;-30;6;W4-S203;55;W4-S215;55;W4-S1061;80;W4-S1022;80;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
0;0;-30;6;W4-S203;55;W4-S215;55;W4-S1061;80;W4-S1022;80;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
0;0;-30;6;W4-S203;55;W4-S215;55;W4-S1061;80;W4-S1022;80;SiPM-AFP;26,5;W4-S204_6e14;250;W4-S204_6e14;250;SiPM-AFP;26,5;;
